project_name,area,purpose,project_status,repository,has_repository,repository_records,repository_names,locations_total,active_locations,missing_locations,machines_active,machines_all,location_entries
025_PDFtoXml,work,,active,,false,0,,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|025_PDFtoXml|project-folder|active|2026-08-05
WP_022_LitaRanker,work,>-,active,WP_022_LitaRanker,true,1,WP_022_LitaRanker,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|022_LitaRanker|git-clone|active|2026-08-05
WP_026_WritingImpControl,work,,active,WP_026_WritingImpControl,true,1,WP_026_WritingImpControl,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|026_WritingImpControl|git-clone|active|2026-08-05
WP_028_ScholarMate,work,>-,active,WP_028_ScholarMate,true,1,WP_028_ScholarMate,2,2,0,personal-mac-m4;work-hp-elitebook,personal-mac-m4;work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_028_ScholarMate|git-clone|active|2026-08-05;personal-mac-m4|personal-mac-work-projects|WP_028_ScholarMate|git-clone|active|2026-08-05
WP_029_InsightLens,work,>-,active,WP_029_InsightLens,true,1,WP_029_InsightLens,2,2,0,personal-mac-m4;work-hp-elitebook,personal-mac-m4;work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_029_InsightLens|git-clone|active|2026-08-05;personal-mac-m4|personal-mac-work-projects|WP_029_InsightLens|git-clone|active|2026-08-05
WP_030_Read-Aloud_Upgrade,work,,active,WP_030_Read-Aloud_Upgrade,true,1,WP_030_Read-Aloud_Upgrade,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_030_Read Aloud_Upgrade|git-clone|active|2026-08-05
WP_031_FolderStructureScanner,work,,active,,false,0,,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_031_FolderStructureScanner|project-folder|active|2026-08-05
WP_032_GlyphTrace,work,>-,active,WP_032_GlyphTrace,true,1,WP_032_GlyphTrace,1,1,0,work-hp-elitebook,work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_032_GlyphTrace|git-clone|active|2026-08-05
WP_033_NOVA-Website,work,NOVA online presence.,active,WP_033_NOVA-Website,true,1,WP_033_NOVA-Website,1,1,0,personal-mac-m4,personal-mac-m4,personal-mac-m4|personal-mac-work-projects|WP_033_NOVA Website|git-clone|active|2026-08-05
WP_034_ReadAloud-VsCode,work,,active,WP_034_ReadAloud-VsCode,true,1,WP_034_ReadAloud-VsCode,1,1,0,personal-mac-m4,personal-mac-m4,personal-mac-m4|personal-mac-work-projects|WP_034_ReadAloud VsCode|git-clone|active|2026-08-05
WP_27_PriorityCompass,work,,active,WP_27_PriorityCompass,true,1,WP_27_PriorityCompass,2,2,0,personal-mac-m4;work-hp-elitebook,personal-mac-m4;work-hp-elitebook,work-hp-elitebook|work-hp-work-projects|WP_27_PriorityCompass|git-clone|active|2026-08-05;personal-mac-m4|personal-mac-work-projects|WP_27_PriorityCompass|git-clone|active|2026-08-05
